Rank,Title,Link
1,Models of European Metro Stations,http://stations.albertguillaumes.cat/
2,macOS Tahoe is certified Unix 03 [pdf],https://www.opengroup.org/openbrand/certificates/1223p.pdf
3,Fukushima Insects Tested for Cognition,https://news.cnrs.fr/articles/fukushima-insects-tested-for-cognition
4,CorentinJ: Real-Time Voice Cloning,https://github.com/CorentinJ/Real-Time-Voice-Cloning
5,Geedge and MESA leak: Analyzing the great firewall’s largest document leak,https://gfw.report/blog/geedge_and_mesa_leak/en/
6,Refurb Weekend: Silicon Graphics Indigo² Impact 10000,http://oldvcr.blogspot.com/2025/09/refurb-weekend-silicon-graphics-indigo.html
7,"A single, 'naked' black hole confounds theories of the young cosmos",https://www.quantamagazine.org/a-single-naked-black-hole-rewrites-the-history-of-the-universe-20250912/
8,SpikingBrain 7B – More efficient than classic LLMs,https://github.com/BICLab/SpikingBrain-7B
9,The rules behing Rust functions,https://blog.cuongle.dev/p/the-hidden-rules-behind-rust-functions
10,Show HN: A store that generates products from anything you type in search,https://anycrap.shop/
